WorkerId,AssignmentId,BonusAmount,UniqueRequestToken,Reason
A3IYUN2EWCO16R,3X1FV8S5J43OSID54948BU293MZVGS,11.82,-763191689,Thank you for joining our study on 2024-04-25
A2Y7FD1D7PUGBL,3A1PQ49WVOTM62SIH121P67UTY31H2,9.81,-2087601548,Thank you for joining our study on 2024-04-25
AVPCUQOQEPTCI,3RUIQRXJBI01I5FC1WZI1D9F7F9LLE,12.33,-404094872,Thank you for joining our study on 2024-04-25
A1WH32GYQOHIRQ,34MAJL3QPBZO4TI2PYW1JADNLTD34N,10.31,-1291528657,Thank you for joining our study on 2024-04-25
A19OCD2Q0K2U6M,3ND9UOO81REHTZRB5A6KAOQV54OLWI,10.29,-1170676806,Thank you for joining our study on 2024-04-25
A26RO8GGTQAXGG,3ATPCQ38JFM4MLV7NKZIM7V0MZEYAZ,10.33,-1739609719,Thank you for joining our study on 2024-04-25
A209V2VHLLQ59W,37KGEN7NJA2H0B98LGLWZBRJKHRPPX,11.33,1568740617,Thank you for joining our study on 2024-04-25
A3LVLZS8S41ZD7,3P4MQ7TPP4ODSN7OJ6LU97H5IT1BBH,13.33,-755300085,Thank you for joining our study on 2024-04-25
A2U8QOJRKUCTWG,3ON104KXQR8LVRKQZI73O7OKI75W4P,1,-465894652,Thank you for joining our study on 2024-04-25
AYVBT8JW88HYX,3FDJT1UU7BKCWAU9O97A5O03T8BK5S,11.32,-754682351,Thank you for joining our study on 2024-04-25
A35MQUGC3B5Q7Y,3FTYUGLFS1X4I4OZWSLN1B5D9ZG5D2,9.81,1399236822,Thank you for joining our study on 2024-04-25
A19TD2J8506A4Y,3SPJ033428FFNEYBHQCVF6YJ9PYJYT,13.79,-623384943,Thank you for joining our study on 2024-04-25
A2V2ETRC6AO6GF,32M8BPYGA0YJ6CT5525PW5CFREVIGU,9.82,541177501,Thank you for joining our study on 2024-04-25
A1WVNDH62P2UNZ,36NEMU28XMP1ZH9W5M7ZA15K2RAWMO,10.29,-1154778945,Thank you for joining our study on 2024-04-25
A2GU626VQD0OJ9,35GCEFQ6IC047Q6RARMRD6QWQ0VZ32,12.33,438058587,Thank you for joining our study on 2024-04-25
A10CLUSRQDKJBH,3QXNC7EIPP7TK7PHN6A9YKQW800090,13.79,-803354910,Thank you for joining our study on 2024-04-25
ASIIBJHP327J7,3A1COHJ8NQ74H2C3GMBG4GU29G48HE,1,-1130763934,Thank you for joining our study on 2024-04-25
A3L2VS3998R77L,3TPWUS5F8GDOQVX5SXDL75088CMCW0,9.76,263953075,Thank you for joining our study on 2024-04-25
AWQTPM5UV35GZ,37ZHEEHM63YLNG0LRWU8MMXXC2Q378,9.81,-1241386252,Thank you for joining our study on 2024-04-25
AJDMNI5LT1VKR,3K3R2QNK8IF90T1XLDOTNRE3KY49UQ,11.82,116368059,Thank you for joining our study on 2024-04-25
A2MQQ8MU5BYFU3,3VJ40NV2QPZX73QENXH1FLNQ54OTOH,9.82,-1649200389,Thank you for joining our study on 2024-04-25
A2C9HJC2RDU10C,3L70J4KAZNY1OA0GROC49MLZ32XAD9,10.29,411291160,Thank you for joining our study on 2024-04-25
A1561P9VVA3C1C,3H7Z272LXEJR9QUATOSPIUIZ99VLPY,9.78,-1693341159,Thank you for joining our study on 2024-04-25
A2WITNAWNFT67B,3PMBY0YE2EFDEZKXZM3TTLSXIDJC94,1,1479967543,Thank you for joining our study on 2024-04-25
AZ2HZXO2JMWPQ,3V5Q80FXI43E1F3FLKDDQVGP4HJ23Z,1,-923584764,Thank you for joining our study on 2024-04-25
A3PGS1Q1XAY79I,3I0BTBYZA4X8L8XPVI2PX1JNNRRY0Z,11.32,420138173,Thank you for joining our study on 2024-04-25
ADY44EV3GCW85,38SKSKU7R89ZS476GT259XHNRPAILL,10.82,-970369781,Thank you for joining our study on 2024-04-25
A1EK88O29TMLX9,3XXU1SWE8T77PQZMFCO9UF1GA4AA0L,1,-1716767021,Thank you for joining our study on 2024-04-25
A1PTX4IB9R34LI,3Q5ZZ9ZEVVRS19S8FKA7FJRC1J6588,1,1299902527,Thank you for joining our study on 2024-04-25
A2FP41BSPG0Y4A,3S4AW7T80IU5KX8RV401FW74LL8L4Z,1,-2085362187,Thank you for joining our study on 2024-04-25
A2531UD0IGT731,32KTQ2V7RKRQNLWOCBX7WHX97CV9MS,10.32,-791298403,Thank you for joining our study on 2024-04-25
A2OROMUVBD1NVC,3NG53N1RL2VWUJARZZJLDPWTS4FP8S,1,1124359358,Thank you for joining our study on 2024-04-25
A1DCKRRPA4AWVD,3300DTYQT9TY3WLXCFKA54IP7Q4EQL,1,1106001994,Thank you for joining our study on 2024-04-25
A2L366NNL1YG5W,3S3AMIZX31HPHPXEB28VFHBN2VGCDQ,1,1629875660,Thank you for joining our study on 2024-04-25
ANVLT6GSNXYIO,39PAAFCODTCSXNZBO93FADHYRUKVT4,9.75,2063683459,Thank you for joining our study on 2024-04-25
A264JZ85R4RU67,32N49TQG3NUNIR02I9CYF8R63CEAVR,1,259648481,Thank you for joining our study on 2024-04-25
A2HG1N3BVQO6I,3UNH76FOCZH5OM4WKNPNVYQ0HCUMYR,1,795687530,Thank you for joining our study on 2024-04-25
A2POU9TTW177VH,31JLPPHS216S8MSK8IBAX8JS2N6O3H,1,-1228602945,Thank you for joining our study on 2024-04-25
A3KF6O09H04SP7,33IZTU6J88DJMCRRZOZ7OTIX9CTXSJ,11.32,-1908853668,Thank you for joining our study on 2024-04-25
AEIACTPDXL4MJ,384PI804XZDBPMLGWCA0FFVM5E70SE,1,623886395,Thank you for joining our study on 2024-04-25
