WorkerId,AssignmentId,BonusAmount,UniqueRequestToken,Reason
A2TTPULEGF8963,3J4Q2Z4UT5FSKW7OXFEGRAPPGG6QWK,1,-813874861,Thank you for joining our study on 2024-02-09
A11YS0T8MV3Q7C,3SUWZRL0M5P5TE2DX66CZZ1Y8MT6EC,7.25,-10632781,Thank you for joining our study on 2024-02-09
A38DHLB88V8DL8,3TDXMTX3CI6H9J4ZTPW3KEZQ02R6IM,8.75,889422229,Thank you for joining our study on 2024-02-09
ALKQPW0O9C98N,3UXUOQ9OKL9L71Z60B9I9UB3I3N7AV,8.75,2146753909,Thank you for joining our study on 2024-02-09
A2Y574CCA0S5TK,34YB12FSQ5052VJWQH3HOYJWBMZMGZ,1,-226479943,Thank you for joining our study on 2024-02-09
A26RO8GGTQAXGG,3ATPCQ38JFM4MLV7NKZIM7V0MZEYAZ,8.25,-1739669359,Thank you for joining our study on 2024-02-09
ABP1TJVOX62L1,3WJ1OXY92HSP7F4PAG1ONU7YTK4A8Q,5.75,-52147121,Thank you for joining our study on 2024-02-09
A2OROMUVBD1NVC,3NG53N1RL2VWUJARZZJLDPWTS4FP8S,6.75,1124299718,Thank you for joining our study on 2024-02-09
A240OTT1T85UGT,3DYGAII7PSK20NANLT0LZGHTKQJPQF,7.25,1114395207,Thank you for joining our study on 2024-02-09
A2U8QOJRKUCTWG,3ON104KXQR8LVRKQZI73O7OKI75W4P,7.75,-465954292,Thank you for joining our study on 2024-02-09
AQ0YWEW29GSIJ,3E4GGUZ1TF3KXDBM6Q5C7HXR99L2KW,3.75,-1398844469,Thank you for joining our study on 2024-02-09
A19TD2J8506A4Y,3SPJ033428FFNEYBHQCVF6YJ9PYJYT,1,-623444583,Thank you for joining our study on 2024-02-09
A27HVVLSZZ13XK,3CN4LGXD540PKWFQEJPR9490R2WY4P,3.75,-990713531,Thank you for joining our study on 2024-02-09
A1QZ9KWB3JBABZ,3DHE4R9OC3NFVRF3GZKX9P5YA7S2GJ,8.75,957553195,Thank you for joining our study on 2024-02-09
A1MG406XG9S1ZS,3UNH76FOCZH5OM4WKNPNVYQ0PNAYMD,1,-1113160,Thank you for joining our study on 2024-02-09
A2MJFI94ODF05B,3LRKMWOKBCTFM8A86R8MUWL4QDL2Z8,1.75,-72173217,Thank you for joining our study on 2024-02-09
A345ZGCQ2YVQDL,31T4R4OBOZS90GW4KP59FP1RSFS7C9,6.25,1548193407,Thank you for joining our study on 2024-02-09
A110BZSDZN7E16,39DD6S19JWN7HOMOZB3NWXUTFTKEZD,1,-462541690,Thank you for joining our study on 2024-02-09
A1WYDO7PQJ8UG,3ZV9H2YQQKJ0DV1MZ42KE2WEAFG3W4,5.25,-264574,Thank you for joining our study on 2024-02-09
A1LDO8EYGXOA9D,3WSELTNVRAE85ZWDDECJEQ3L8VRTAX,7.25,-1929454502,Thank you for joining our study on 2024-02-09
A1HHHBSSB6XV6H,320DUZ38GEYF1NDBNKQP86RF8RMGJ6,7.75,1654566165,Thank you for joining our study on 2024-02-09
A19ED8FYO6CA36,3E47SOBEYX86P0D03G966ER0XNECIV,1.93,-1532348145,Thank you for joining our study on 2024-04-19
A3OYUJ6E6BJS4H,3GGAI1SQE2ASLJ3ROV7YY7YHEV0CMB,2.52,-464372275,Thank you for joining our study on 2024-04-19
A2WNTI69VVVWMZ,3ATPCQ38JFM4MLV7NKZIM7V0NU4YAG,1.45,264903826,Thank you for joining our study on 2024-04-19
A2MUCL20GTQJA0,3OLF68YTNGDYMUECIU7UXMOKHEAAFH,5.58,-1193769351,Thank you for joining our study on 2024-04-19
